"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jan 11 03:09:10 GMT 2025","Sat Jan 11 03:09:10 GMT 2025","8","","bassi.itau_unibanco.exerc2_itau_unibanco.service.ProdutoServiceTest","","bassi.itau_unibanco.exerc2_itau_unibanco.service.ProdutoServiceTest","cadastrarProduto_DeveRetornarProdutoComIdCadastrado","Deve cadastrar produto e retornar produto com ID.","Este teste verifica se o serviço de produtos consegue cadastrar um novo produto e retorna o produto com ID gerado corretamente."
"passed","Sat Jan 11 03:09:10 GMT 2025","Sat Jan 11 03:09:10 GMT 2025","6","","bassi.itau_unibanco.exerc2_itau_unibanco.mapper.ProdutoMapperTest","","bassi.itau_unibanco.exerc2_itau_unibanco.mapper.ProdutoMapperTest","atualizarProdutoModelComProdutoRequest_DeveAtualizarCorretamente","Deve atualizar ProdutoModel com informações do ProdutoRequest.","Valida se o método mapToProdutoModel atualiza corretamente um ProdutoModel existente com informações de um ProdutoRequest."
"passed","Sat Jan 11 03:09:10 GMT 2025","Sat Jan 11 03:09:10 GMT 2025","6","","bassi.itau_unibanco.exerc2_itau_unibanco.service.ProdutoServiceTest","","bassi.itau_unibanco.exerc2_itau_unibanco.service.ProdutoServiceTest","listarProdutoPorId_DeveLancarErroQuandoProdutoNaoEncontrado","Deve lançar exceção quando produto não for encontrado pelo ID.","Este teste verifica se o serviço de produtos lança uma exceção quando um ID inválido (não encontrado) é fornecido."
"passed","Sat Jan 11 03:09:10 GMT 2025","Sat Jan 11 03:09:10 GMT 2025","4","","bassi.itau_unibanco.exerc2_itau_unibanco.service.ProdutoServiceTest","","bassi.itau_unibanco.exerc2_itau_unibanco.service.ProdutoServiceTest","listarProdutoPorId_DeveRetornarProdutoExistente","Deve retornar produto com sucesso quando ID válido for fornecido.","Este teste verifica se o serviço de produtos retorna o produto correto quando um ID válido é fornecido."
"passed","Sat Jan 11 03:09:10 GMT 2025","Sat Jan 11 03:09:10 GMT 2025","325","","bassi.itau_unibanco.exerc2_itau_unibanco.service.ProdutoServiceTest","","bassi.itau_unibanco.exerc2_itau_unibanco.service.ProdutoServiceTest","atualizarProduto_DeveFalharQuandoIdNaoForEncontrado","Deve falhar ao atualizar produto quando ID não for encontrado.","Este teste verifica se o serviço de produtos lança uma exceção quando tenta atualizar um produto com um ID inexistente."
"passed","Sat Jan 11 03:09:10 GMT 2025","Sat Jan 11 03:09:10 GMT 2025","7","","bassi.itau_unibanco.exerc2_itau_unibanco.Exerc2ItauUnibancoApplicationTests","","bassi.itau_unibanco.exerc2_itau_unibanco.Exerc2ItauUnibancoApplicationTests","contextLoads","Validação do perfil ativo: ""test""","Verifica se o perfil 'test' é carregado corretamente durante a inicialização da aplicação, garantindo a configuração do ambiente de teste."
"passed","Sat Jan 11 03:09:09 GMT 2025","Sat Jan 11 03:09:10 GMT 2025","869","","bassi.itau_unibanco.exerc2_itau_unibanco.mapper.ProdutoMapperTest","","bassi.itau_unibanco.exerc2_itau_unibanco.mapper.ProdutoMapperTest","mapearProdutoRequestParaProdutoModel_DeveRetornarObjetoCorreto","Deve mapear ProdutoRequest para ProdutoModel corretamente.","Verifica se o método mapToProdutoModel converte corretamente um ProdutoRequest em ProdutoModel, preservando os valores e adicionando o ID."
"passed","Sat Jan 11 03:09:10 GMT 2025","Sat Jan 11 03:09:10 GMT 2025","4","","bassi.itau_unibanco.exerc2_itau_unibanco.service.ProdutoServiceTest","","bassi.itau_unibanco.exerc2_itau_unibanco.service.ProdutoServiceTest","deletarProduto_DeveLancarErroQuandoIdNaoForEncontrado","Deve falhar ao deletar produto quando ID não for encontrado.","Este teste verifica se o serviço de produtos lança uma exceção quando tenta excluir um produto com um ID inexistente."
"passed","Sat Jan 11 03:09:10 GMT 2025","Sat Jan 11 03:09:10 GMT 2025","36","","bassi.itau_unibanco.exerc2_itau_unibanco.service.ProdutoServiceTest","","bassi.itau_unibanco.exerc2_itau_unibanco.service.ProdutoServiceTest","listarProdutos_DeveRetornarListaDeProdutos","Deve retornar todos os produtos cadastrados.","Este teste verifica se o serviço de produtos retorna corretamente uma lista de produtos cadastrados."
"passed","Sat Jan 11 03:09:10 GMT 2025","Sat Jan 11 03:09:10 GMT 2025","27","","bassi.itau_unibanco.exerc2_itau_unibanco.service.ProdutoServiceTest","","bassi.itau_unibanco.exerc2_itau_unibanco.service.ProdutoServiceTest","atualizarProduto_DeveRetornarProdutoAtualizado","Deve atualizar produto e retornar produto com novos dados.","Este teste verifica se o serviço de produtos consegue atualizar corretamente um produto existente e retorna os novos dados."
"passed","Sat Jan 11 03:09:10 GMT 2025","Sat Jan 11 03:09:10 GMT 2025","5","","bassi.itau_unibanco.exerc2_itau_unibanco.service.ProdutoServiceTest","","bassi.itau_unibanco.exerc2_itau_unibanco.service.ProdutoServiceTest","deletarProduto_DeveExcluirComSucessoSemConteudo","Deve deletar produto e não retornar conteúdo.","Este teste verifica se o serviço de produtos consegue excluir um produto com sucesso, sem retornar conteúdo após a exclusão."
